,tconst,averageRating,numVotes,weightedRating,primaryTitle,startYear,runtimeMinutes
3368773,tt3812366,7.8,3331,7.09405951078324,Ode to My Father,2014,126
52169,tt0053143,7.3,11418,7.094057883464221,Operation Petticoat,1959,124
75764,tt0077362,7.3,11405,7.093984342810054,Coming Home,1978,127
67467,tt0068817,7.7,3877,7.093981369255809,Lone Wolf and Cub: Baby Cart to Hades,1972,89
228464,tt0238119,7.6,4643,7.093978342273049,Boys Don't Cry,2000,90
4558849,tt6472976,7.2,22128,7.093905958241384,Five Feet Apart,2019,116
1946738,tt1524539,8.4,1797,7.093883643691457,Harishchandrachi Factory,2009,96
786685,tt0811136,7.6,4634,7.093824660862523,Shut Up & Sing,2006,93
82008,tt0083789,7.5,5773,7.093799759529458,Danton,1983,136
324328,tt0337978,7.1,373996,7.0937342730252935,Live Free or Die Hard,2007,128
3240486,tt3517192,7.7,3865,7.093729430105665,Ohm Shanthi Oshaana,2014,136
389282,tt0405422,7.1,369704,7.093666139689488,The 40-Year-Old Virgin,2005,116
2726635,tt2354205,8.2,2115,7.093601327678407,McCullin,2012,91
114482,tt0117060,7.1,363720,7.093568635521712,Mission: Impossible,1996,110
2311781,tt1905041,7.1,350947,7.093350126480593,Fast & Furious 6,2013,130
4131080,tt5518022,7.9,2893,7.093346000788729,"Houston, We Have a Problem!",2016,88
792562,tt0817225,7.5,5736,7.093310775637689,Secret Sunshine,2007,142
2785394,tt2438644,7.2,21845,7.09326502294802,Department Q: The Keeper of Lost Causes,2013,96
1651471,tt1217209,7.1,344526,7.0932345761867905,Brave,2012,93
70084,tt0071524,7.3,11257,7.093143392999972,The Front Page,1974,105
4030450,tt5294966,7.4,7584,7.093100908421311,After the Storm,2016,118
304155,tt0317219,7.1,336414,7.093082725074291,Cars,2006,117
1713451,tt1282140,7.1,334991,7.093055381940104,Easy A,2010,92
3145014,tt3296658,7.3,11227,7.092972092638087,Rams,2015,93
2882438,tt2675914,7.2,21705,7.092945080826464,In Order of Disappearance,2014,116
47038,tt0047885,7.4,7539,7.092676480531055,Blackboard Jungle,1955,101
43303,tt0044060,7.6,4564,7.092626166959816,Summer Interlude,1951,96
1506961,tt1093842,7.6,4561,7.092574676093502,My Winnipeg,2007,80
147131,tt0151568,7.3,11155,7.092559811920896,Topsy-Turvy,1999,154
3183554,tt3385524,7.2,21466,7.092394438944605,Stan & Ollie,2018,98
238934,tt0249047,8.4,1766,7.092370918329223,Namukku Parkkan Munthiri Thoppukal,1986,137
285878,tt0298130,7.1,301591,7.092345165665925,The Ring,2002,115
80465,tt0082206,7.6,4540,7.092213947190251,Coup de Torchon,1981,128
460780,tt0478829,7.6,4540,7.092213947190251,Vitus,2006,100
34673,tt0035279,7.2,21377,7.092187937986503,Saboteur,1942,109
68078,tt0069452,8.2,2077,7.0920486021346525,Walter Defends Sarajevo,1972,133
5149804,tt7745068,7.7,3785,7.092044467604655,My Hero Academia: Two Heroes,2018,96
80690,tt0082436,7.7,3782,7.091981099298172,Garde à vue,1981,87
4139413,tt5536610,7.3,11049,7.091949846042886,Private Life,2018,123
416216,tt0433035,7.1,285521,7.09194901472042,Real Steel,2011,127
2130348,tt1714832,7.6,4520,7.091869918699187,Do Dooni Chaar,2010,112
4898121,tt7207238,7.8,3243,7.091859929894133,Jane,2017,90
